ibgeID;Municipio;ESPVIDA;E_ANOSESTUDO;T_ANALF18M;RDPC;IDHM
1505304;ORIXIMINÁ;71,66;9,32;12,49;332,29;0,623
1505403;OURÉM;68,63;8,43;22,57;285,61;0,568
1505437;OURILÂNDIA DO NORTE;72,72;7,72;13,53;466,52;0,624
1505486;PACAJÁ;69,78;6,55;23,46;231,91;0,515
1505494;PALESTINA DO PARÁ;70,63;8,36;25,46;284,54;0,589
1505502;PARAGOMINAS;71,87;8,52;13,98;507,16;0,645
1505536;PARAUAPEBAS;73,55;9,26;8,68;627,61;0,715
1505551;PAU D'ARCO;69,86;8,29;24,69;279,72;0,574
1505601;PEIXE-BOI;70,23;8,65;23,92;234,4;0,581
1505635;PIÇARRA;72,54;7,81;23,99;263,04;0,563
1505650;PLACAS;71,18;8,33;18,53;231,94;0,552
1505700;PONTA DE PEDRAS;71,38;7,17;15,69;257,4;0,562
1505809;PORTEL;71,04;6,19;32,68;195,22;0,483
1505908;PORTO DE MOZ;71,2;6,49;23,23;193,52;0,503
1506005;PRAINHA;71,76;7,18;18,98;193,32;0,523
1506104;PRIMAVERA;71,3;7,62;22,81;279,74;0,577
1506112;QUATIPURU;68,89;7,21;25,08;244,9;0,543
1506138;REDENÇÃO;73,23;9,63;12,56;529,54;0,672
1506161;RIO MARIA;73,23;8,79;17,29;460,83;0,638
1506187;RONDON DO PARÁ;72,29;8,15;21,75;346,74;0,602
1506195;RURÓPOLIS;70,86;6,5;19,39;242,49;0,548
1506203;SALINÓPOLIS;72,87;9,17;11,99;398,58;0,647
1506302;SALVATERRA;72,6;8,6;9,79;296,28;0,608
1506351;SANTA BÁRBARA DO PARÁ;72,06;8,88;9,01;287,25;0,627
1506401;SANTA CRUZ DO ARARI;71,51;7,64;12,37;161,13;0,557
1506500;SANTA ISABEL DO PARÁ;72,87;9,38;10,15;384,17;0,659
1506559;SANTA LUZIA DO PARÁ;68,41;8,16;27,08;217,11;0,546
1506583;SANTA MARIA DAS BARREIRAS;72;7,36;19,87;253,55;0,544
1506609;SANTA MARIA DO PARÁ;70,85;8,04;21,67;323,98;0,598
1506708;SANTANA DO ARAGUAIA;71,43;8,19;15,84;316,81;0,602
1506807;SANTARÉM;73,44;10,26;8,07;409,07;0,691
1506906;SANTARÉM NOVO;71,42;8,35;18,86;203;0,587
1507003;SANTO ANTÔNIO DO TAUÁ;70,18;9,61;12,45;331,12;0,632
1507102;SÃO CAETANO DE ODIVELAS;71,01;8,97;12,25;247,8;0,585
1507151;SÃO DOMINGOS DO ARAGUAIA;69,25;8,08;21,48;400,66;0,594
1507201;SÃO DOMINGOS DO CAPIM;71,38;7,35;24;189,39;0,532
1507300;SÃO FÉLIX DO XINGU;72,87;6,45;12,26;423,85;0,594
1507409;SÃO FRANCISCO DO PARÁ;72,08;9,51;17,25;279,19;0,608
1507458;SÃO GERALDO DO ARAGUAIA;72,55;7,54;20,34;322,95;0,595
1507466;SÃO JOÃO DA PONTA;71;8,18;9,22;206,18;0,583
1507474;SÃO JOÃO DE PIRABAS;70,18;7,61;22,51;215,54;0,539
1507508;SÃO JOÃO DO ARAGUAIA;69,47;7,3;26,95;216,86;0,55
1507607;SÃO MIGUEL DO GUAMÁ;70,1;7,82;18,49;299,95;0,591
1507706;SÃO SEBASTIÃO DA BOA VISTA;70,62;7,88;17,24;202,85;0,558
1507755;SAPUCAIA;72,52;7,93;24,09;426,86;0,59
1507805;SENADOR JOSÉ PORFÍRIO;70,24;7,56;24,69;219,97;0,514
1507904;SOURE;70,57;8,68;10,12;300,59;0,615
1507953;TAILÂNDIA;71,58;7,74;14,62;300,85;0,588
1507961;TERRA ALTA;69,59;8,99;10,46;252,51;0,605
1507979;TERRA SANTA;70,76;9,33;9,32;338,44;0,635
1508001;TOMÉ-AÇU;72,87;8,32;17,5;326,18;0,586
1508035;TRACUATEUA;71,57;7,79;23,27;195,97;0,531
1508050;TRAIRÃO;70,8;7,28;21,35;322,61;0,562
1508084;TUCUMÃ;73,76;8,02;13,34;517,86;0,659
1508100;TUCURUÍ;73;8,6;10,25;534,02;0,666
1508126;ULIANÓPOLIS;70,55;6,9;16,07;558,72;0,604
1508159;URUARÁ;72,87;7,81;16,38;353,67;0,589
1508209;VIGIA;71,06;8,75;10,81;323,12;0,617
1508308;VISEU;71,57;6,97;24,05;160,09;0,515
1508357;VITÓRIA DO XINGU;72,49;8,41;17,26;323,18;0,596
1508407;XINGUARA;73,02;8,38;13,24;520,57;0,646
1600055;SERRA DO NAVIO;71,97;10,57;11,88;484,63;0,709
1600105;AMAPÁ;72,4;8,68;12,11;406,9;0,642
1600154;PEDRA BRANCA DO AMAPARI;71,73;7,5;18,12;397,98;0,626
1600204;CALÇOENE;70,51;8,9;14,03;417,71;0,643
1600212;CUTIAS;70,58;9,9;12,5;287,41;0,628
1600238;FERREIRA GOMES;74,2;9,05;14,74;416,72;0,656
1600253;ITAUBAL;70,46;8,33;15,45;213,26;0,576
1600279;LARANJAL DO JARI;73,06;9,15;12,49;432,92;0,665
1600303;MACAPÁ;74,19;9,6;6,62;717,88;0,733
1600402;MAZAGÃO;70,46;8,3;23,69;353,61;0,592
1600501;OIAPOQUE;71,71;8,55;9,82;598,38;0,658
1600535;PORTO GRANDE;71,62;9,29;13,95;356,65;0,64
1600550;PRACUÚBA;72,4;9,71;12,9;228,81;0,614
1600600;SANTANA;72,65;9,91;10,65;469,24;0,692
1600709;TARTARUGALZINHO;72,63;8,51;18,66;250,2;0,592
1600808;VITÓRIA DO JARI;71,88;8,62;16,35;309,39;0,619
1700251;ABREULÂNDIA;75,12;7,24;14,19;624,03;0,665
1700301;AGUIARNÓPOLIS;73,21;8,93;18,32;374,27;0,657
1700350;ALIANÇA DO TOCANTINS;73,04;10,02;15,71;357,08;0,663
1700400;ALMAS;72,74;9,09;24,03;369,39;0,636
1700707;ALVORADA;75,55;9,85;10,9;539,26;0,708
1701002;ANANÁS;73,23;11,24;21,03;380,36;0,671
1701051;ANGICO;71,37;10,71;18,62;288,86;0,648
1701101;APARECIDA DO RIO NEGRO;72,48;10,01;16,16;320,54;0,651
1701309;ARAGOMINAS;69,36;9,2;25,75;357,45;0,593
1701903;ARAGUACEMA;73,29;10,12;17,86;308,94;0,639
1702000;ARAGUAÇU;72,78;9,92;15,5;435,22;0,675
1702109;ARAGUAÍNA;74,23;10,05;9,25;737,63;0,752
1702158;ARAGUANÃ;70,37;9,89;19,89;372,96;0,604
1702208;ARAGUATINS;72,56;9,62;21,64;342,07;0,631
1702307;ARAPOEMA;73,59;9,91;19,12;442,33;0,68
1702406;ARRAIAS;74,73;9,69;22,83;418,64;0,651
1702554;AUGUSTINÓPOLIS;72,56;10,53;24,4;364,32;0,67
1702703;AURORA DO TOCANTINS;73,23;8,41;22,47;535,8;0,677
1702901;AXIXÁ DO TOCANTINS;69;10,11;26,26;324,56;0,627
1703008;BABAÇULÂNDIA;72,52;9,51;22,16;313,37;0,642
1703057;BANDEIRANTES DO TOCANTINS;72,79;9,92;18,74;278;0,638
1703073;BARRA DO OURO;70,6;9,18;24,79;256,28;0,603
1703107;BARROLÂNDIA;73,99;9,52;17,18;335,26;0,642
1703206;BERNARDO SAYÃO;69,9;9,8;19,74;347,03;0,638
1703305;BOM JESUS DO TOCANTINS;74,98;9,92;16,23;381,43;0,66
1703602;BRASILÂNDIA DO TOCANTINS;74,84;10,06;18,47;428,48;0,684
1703701;BREJINHO DE NAZARÉ;74,2;10,34;17,98;414,87;0,686
1703800;BURITI DO TOCANTINS;67,76;9,79;24,53;287,05;0,627
1703826;CACHOEIRINHA;70,7;10,77;20,32;241,7;0,627
1703842;CAMPOS LINDOS;69,25;7,92;23,42;292,64;0,544
1703867;CARIRI DO TOCANTINS;74,55;9,38;15,59;425,49;0,662
1703883;CARMOLÂNDIA;73,59;9,39;21,17;382,31;0,64
1703891;CARRASCO BONITO;68,69;10,29;32,02;234,45;0,594
1703909;CASEARA;74,51;11;19,35;447,52;0,658
1704105;CENTENÁRIO;66,97;9,36;30,65;280,17;0,569
1704600;CHAPADA DE AREIA;68,58;9,52;20,24;376,48;0,619
1705102;CHAPADA DA NATIVIDADE;73,84;10,1;22,82;315,34;0,62
1705508;COLINAS DO TOCANTINS;73,85;9,52;12,92;587,11;0,701
1705557;COMBINADO;73,89;11,17;19,73;455,39;0,697
1705607;CONCEIÇÃO DO TOCANTINS;69,32;8,44;25,66;310,96;0,592
1706001;COUTO MAGALHÃES;70,6;9,13;18,82;284,33;0,605
1706100;CRISTALÂNDIA;73,29;9,68;13,63;495,57;0,673
1706258;CRIXÁS DO TOCANTINS;72,86;9,46;11,25;341,27;0,644
1706506;DARCINÓPOLIS;70,83;8,64;22,09;327,64;0,581
1707009;DIANÓPOLIS;74,34;9,94;13,68;528,6;0,701
1707108;DIVINÓPOLIS DO TOCANTINS;73,97;9,97;17,65;507,04;0,683
1707207;DOIS IRMÃOS DO TOCANTINS;73,78;8,78;18,67;245,98;0,583
1707306;DUERÉ;75,77;10,13;13,54;467,9;0,679
1707405;ESPERANTINA;67,92;10,26;24,93;174,51;0,57
1707553;FÁTIMA;73,75;10,16;16,26;464,94;0,697
1707652;FIGUEIRÓPOLIS;74,32;9,38;18,02;498,31;0,689
1707702;FILADÉLFIA;72,52;9,38;20,87;291,57;0,621
1708205;FORMOSO DO ARAGUAIA;73,05;9,16;13,93;429,17;0,67
1708254;FORTALEZA DO TABOCÃO;73,5;10,04;18,97;370;0,659
1708304;GOIANORTE;73,31;8,9;17,96;329,64;0,621
1709005;GOIATINS;70,87;8,28;27,64;232,19;0,576
1709302;GUARAÍ;75,35;10,08;12,1;722,83;0,741
1709500;GURUPI;75,6;9,88;6,84;778,9;0,759
1709807;IPUEIRAS;72,81;9,68;17,07;288,55;0,62
1710508;ITACAJÁ;72,87;8,91;19,37;304,55;0,612
1710706;ITAGUATINS;72,94;9,46;26,72;281,62;0,616
1710904;ITAPIRATINS;72,77;9,81;20,92;357,54;0,601
1711100;ITAPORÃ DO TOCANTINS;75,53;9,68;20,47;363,13;0,65
1711506;JAÚ DO TOCANTINS;73,89;9,35;14,22;523,53;0,662
1711803;JUARINA;69,52;8,79;16,78;265,5;0,584
1711902;LAGOA DA CONFUSÃO;72,2;7,9;14,31;404,61;0,627
1711951;LAGOA DO TOCANTINS;70,5;8,3;24,92;235,28;0,579
1712009;LAJEADO;72,89;8,18;10,54;527,21;0,675
